,NTAName,total_foreign_born,Europe::Northern Europe,Europe::Western Europe,Europe::Southern Europe,Europe::Eastern Europe,Asia::Eastern Asia,Asia::South Central Asia,Asia::South Eastern Asia,Asia::Western Asia,Africa::Eastern Africa,Africa::Middle Africa,Africa::Northern Africa,Africa::Southern Africa,Africa::Western Africa,Oceania,Americas::Latin America,Americas::Latin America::Central America,Americas::Latin America::South America,Americas::Northern America,total_tract_pop,foreign_born_pct,total_foreign_born_pct,Europe::Northern Europe_pct,Europe::Western Europe_pct,Europe::Southern Europe_pct,Europe::Eastern Europe_pct,Asia::Eastern Asia_pct,Asia::South Central Asia_pct,Asia::South Eastern Asia_pct,Asia::Western Asia_pct,Africa::Eastern Africa_pct,Africa::Middle Africa_pct,Africa::Northern Africa_pct,Africa::Southern Africa_pct,Africa::Western Africa_pct,Oceania_pct,Americas::Latin America_pct,Americas::Latin America::Central America_pct,Americas::Latin America::South America_pct,Americas::Northern America_pct,foreign_born_pct_pct
153,Midtown-Times Square,8062,321,665,275,749,1701,931,628,327,11,27,183,16,97,75,1543,254,617,489,21949,36.73060276094583,36.73060276094583,1.462481206433095,3.029750785912798,1.252904460339879,3.4124561483438884,7.749783589229578,4.241651100277917,2.8611781857943415,1.4898173037496014,0.050116178413595155,0.12301243792427902,0.8337509681534466,0.07289625951068386,0.4419335732835209,0.34170121645633056,7.029933026561574,1.1572281197321062,2.8110620073807464,2.2278919312952756,0.16734522192785928
154,Midwood,20106,171,378,37,7360,1064,4745,285,2473,84,0,230,16,98,48,3042,1112,576,43,50867,39.5266086067588,39.5266086067588,0.3361707983564983,0.7431143963669963,0.07273871075549963,14.469105707039928,2.0917294119959897,9.328248176617453,0.5602846639274972,4.861698154009476,0.1651365325259992,0.0,0.45215955334499774,0.03145457762399984,0.19265928794699902,0.09436373287199953,5.98030157076297,2.1860931448679892,1.1323647944639943,0.08453417736449959,0.07770579866467218
155,Miller Field,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,15,0,59,25.423728813559322,25.423728813559322,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.423728813559322,0.0,25.423728813559322,0.0,43.091065785693765
156,Montefiore Cemetery,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,
157,Morningside Heights,11187,268,810,660,470,3491,1203,435,599,48,19,26,77,148,73,2463,544,871,355,37984,29.451874473462507,29.451874473462507,0.7055602358887952,2.1324768323504633,1.7375737152485256,1.237363100252738,9.190711878685763,3.16712299915754,1.1452190395956192,1.5769797809604043,0.12636899747262004,0.050021061499578766,0.06844987363100252,0.2027169334456613,0.3896377422072452,0.19218618365627632,6.484309182813816,1.4321819713563606,2.293070766638585,0.9346040438079191,0.07753758022710222
158,Morris Park,6825,32,72,410,1154,596,497,920,143,0,22,83,0,77,0,2819,242,836,0,22818,29.91059689718643,29.91059689718643,0.14024016127618547,0.3155403628714173,1.7968270663511265,5.057410816022438,2.6119730037689544,2.1781050048207558,4.031904636690332,0.6266982207029539,0.0,0.0964151108773775,0.36374791831010606,0.0,0.3374528880708213,0.0,12.354281707423965,1.0605662196511525,3.6637742133403455,0.0,0.13108334164776242
159,Morrisania,9431,3,111,0,91,0,248,58,0,68,64,0,0,1876,0,6846,837,916,0,35978,26.21324142531547,26.21324142531547,0.00833842903996887,0.3085218744788482,0.0,0.2529323475457224,0.0,0.6893101339707599,0.16120962810606482,0.0,0.18900439157262772,0.17788648618600256,0.0,0.0,5.2142976263272,0.0,19.028295069208962,2.3264217021513147,2.5460003335371613,0.0,0.07285908451085515
160,Mott Haven-Port Morris,15212,0,135,57,63,20,107,144,55,0,120,16,4,1942,0,12281,4387,1544,34,56669,26.843600557624097,26.843600557624097,0.0,0.23822548483297748,0.10058409359614605,0.11117189292205615,0.035292664419700366,0.18881575464539696,0.2541071838218426,0.097054827154176,0.0,0.21175598651820218,0.02823413153576029,0.007058532883940072,3.4269177151529058,0.0,21.67146058691701,7.741445940461275,2.724593693200868,0.05999752951349062,0.04736910931483544
161,Mount Eden-Claremont (West),21758,14,17,10,34,156,215,79,0,156,27,245,0,2945,0,17571,3520,1288,0,51156,42.53264524200485,42.53264524200485,0.027367268746579094,0.033231683477988896,0.01954804910469935,0.06646336695597779,0.30494956603330986,0.420283055751036,0.15442958792712486,0.0,0.30494956603330986,0.05277973258268825,0.4789272030651341,0.0,5.7569004613339585,0.0,34.34787708186723,6.880913284854172,2.517788724685276,0.0,0.0831430237743468
162,Mount Hebron & Cedar Grove Cemeteries,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,
163,Mount Hope,21631,0,0,19,86,51,201,28,39,6,0,0,0,4911,0,15903,1882,1677,45,47292,45.73923708026727,45.73923708026727,0.0,0.0,0.040175928275395414,0.18184893850968453,0.10784064958132454,0.42501903070286723,0.059206631142687975,0.08246637909160112,0.012687135244861711,0.0,0.0,0.0,10.38442019791931,0.0,33.62725196650596,3.9795314218049564,3.546054300938848,0.09515351433646284,0.09671664780569075
164,Mount Olivet & All Faiths Cemeteries,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,
165,Murray Hill-Broadway Flushing,32271,106,101,1025,1256,21830,989,955,210,43,0,449,64,113,107,4915,1587,2446,40,53856,59.92090017825312,59.92090017825312,0.19682115270350564,0.18753713606654784,1.9032234105763517,2.3321449792038025,40.534016636957816,1.8363784907902556,1.7732471776589425,0.38992869875222813,0.0798425430778372,0.0,0.8337046939988115,0.11883541295306002,0.2098187759952466,0.19867795603089722,9.12618835412953,2.94674688057041,4.541740938799762,0.07427213309566251,0.11126132683127808
166,Murray Hill-Kips Bay,14988,452,689,848,1212,3599,2440,963,749,165,25,161,60,247,189,2338,269,1130,812,54905,27.298060285948456,27.298060285948456,0.8232401420635643,1.254894818322557,1.5444859302431473,2.2074492304890265,6.554958564793735,4.444039704944905,1.7539386212548949,1.3641744831982514,0.30051907840815956,0.04553319369820599,0.2932337674164466,0.10927966487569438,0.4498679537382752,0.3442309443584373,4.2582642746562245,0.4899371641926965,2.0581003551589108,1.4789181313177306,0.04971871466341582
167,New Dorp-Midland Beach,9244,20,148,503,2569,3550,756,276,149,0,0,220,0,0,0,1029,698,149,0,29303,31.546258062314436,31.546258062314436,0.06825239736545746,0.5050677405043853,1.7165477937412552,8.767020441593012,12.1148005323687,2.579940620414292,0.9418830836433129,0.5084803603726581,0.0,0.0,0.7507763710200321,0.0,0.0,0.0,3.5115858444527865,2.3820086680544654,0.5084803603726581,0.0,0.10765538703311754
168,New Springville-Willowbrook-Bulls Head-Travis,13050,88,173,597,1835,3830,749,1372,976,0,0,1074,0,355,0,1840,761,690,30,42458,30.73625700692449,30.73625700692449,0.20726364878232606,0.4074614913561638,1.4060954354891892,4.321918130858731,9.02067925950351,1.7640962833859342,3.2314287060153566,2.298742286494889,0.0,0.0,2.529558622638843,0.0,0.8361204013377926,0.0,4.333694474539545,1.792359508219888,1.6251354279523293,0.07065806208488389,0.07239214519507393
169,North & South Brother Islands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,
170,North Corona,24521,18,10,107,48,1688,438,229,48,0,16,119,0,96,32,21672,6964,10562,0,39689,61.78286175010709,61.78286175010709,0.04535261659401849,0.025195898107788054,0.26959610975333215,0.12094031091738264,4.2530676005946235,1.1035803371211166,0.5769860666683464,0.12094031091738264,0.0,0.040313436972460884,0.29983118748267784,0.0,0.24188062183476527,0.08062687394492177,54.60455037919827,17.5464234422636,26.61190758144574,0.0,0.15566746894632538
171,Norwood,17865,16,49,30,785,107,2261,333,125,59,157,76,1,403,0,13188,2900,1352,0,39547,45.17409664449895,45.17409664449895,0.04045818899031532,0.12390320378284068,0.07585910435684123,1.9849798973373454,0.27056413887273373,5.717247831693934,0.8420360583609376,0.31607960148683845,0.14918957190178775,0.3969959794674691,0.19217639770399778,0.0025286368118947076,1.019040635193567,0.0,33.3476622752674,7.333046754494651,3.4187169696816446,0.0,0.11422888371936923
172,Oakland Gardens-Hollis Hills,10846,57,67,106,754,5661,1016,1400,309,0,0,243,0,0,0,1224,80,647,9,25549,42.45175936435868,42.45175936435868,0.2231007084426005,0.262241183607969,0.41488903675290617,2.9511918274687856,22.157422991115112,3.9766722768014406,5.479666523151591,1.209440682609887,0.0,0.0,0.9511135465184548,0.0,0.0,0.0,4.790794160241106,0.31312380132294804,2.532388743199342,0.03522642764883166,0.16615820331268807
173,Oakwood-Richmondtown,3842,32,23,158,1409,799,793,71,76,0,0,195,0,30,0,248,75,96,8,20418,18.816730335978058,18.816730335978058,0.15672445881085317,0.11264570477030071,0.7738270153785874,6.900773827015379,3.9132138309334903,3.883827994906455,0.3477323929865805,0.37222058967577626,0.0,0.0,0.9550396708786366,0.0,0.14692918013517484,0.0,1.2146145557841121,0.3673229503379371,0.4701733764325595,0.03918111470271329,0.09215755870299763
174,Ocean Hill,11677,56,84,71,186,107,358,141,39,134,43,45,18,1456,11,8849,886,1710,70,39495,29.56576781871123,29.56576781871123,0.14179010001265982,0.21268515001898977,0.17976959108747942,0.470945689327763,0.27092036966704647,0.9064438536523611,0.3570072161033042,0.09874667679453096,0.33928345360172174,0.10887454108114952,0.11393847322445878,0.04557538928978352,3.6865426003291555,0.02785162678820104,22.40536776807191,2.2433219394860107,4.3296619825294345,0.1772376250158248,0.07485952099939544
175,Old Astoria-Hallets Point,5271,118,200,424,198,657,544,227,103,0,0,86,0,27,7,2554,665,1253,94,13542,38.92334957908729,38.92334957908729,0.8713631664451337,1.4768867227883622,3.1309998523113283,1.4621178555604786,4.851572884359769,4.0171318859843455,1.676266430364791,0.7605966622360065,0.0,0.0,0.6350612907989956,0.0,0.19937970757642887,0.051691035297592676,18.859843450007386,4.910648353271304,9.252695318269089,0.6941367597105302,0.28742689099901997
176,Ozone Park,9629,62,4,599,230,697,2940,760,63,0,0,66,0,0,0,4196,931,1961,12,23316,41.29782123863441,41.29782123863441,0.2659118202092983,0.017155601303825697,2.569051295247898,0.9864470749699776,2.989363527191628,12.609366958311888,3.259564247726883,0.2702007205352548,0.0,0.0,0.28306742151312403,0.0,0.0,0.0,17.99622576771316,3.992966203465431,8.410533539200548,0.0514668039114771,0.1771222389716693
177,Ozone Park (North),14072,16,19,109,639,521,3826,168,133,10,25,79,0,14,53,8438,1306,4849,22,26317,53.47114032754493,53.47114032754493,0.06079720332864689,0.07219667895276817,0.4141809476764069,2.4280883079378346,1.979708933389064,14.538131245962685,0.6383706349507923,0.5053767526693772,0.037998252080404304,0.09499563020101075,0.300186191435194,0.0,0.053197552912566025,0.2013907360261428,32.06292510544515,4.962571721700802,18.425352433788046,0.08359615457688947,0.20318098691927247
178,Park Slope,9885,1149,878,343,1261,1669,559,255,437,56,0,39,67,49,196,2414,628,996,513,58600,16.868600682593858,16.868600682593858,1.9607508532423208,1.4982935153583616,0.5853242320819112,2.151877133105802,2.848122866894198,0.9539249146757679,0.4351535836177475,0.7457337883959044,0.09556313993174062,0.0,0.06655290102389078,0.11433447098976109,0.08361774744027303,0.33447098976109213,4.119453924914676,1.0716723549488054,1.6996587030716725,0.8754266211604096,0.0287860079907745
