Arrest Date,1 Convicted Criminal,2 Pending Criminal Charges,3 Other Immigration Violator,1 Convicted Criminal (7-day avg),2 Pending Criminal Charges (7-day avg),3 Other Immigration Violator (7-day avg)
2024-06-26,3.0,1.0,12.0,1.8571428571428572,0.5714285714285714,8.571428571428571
2024-06-27,3.0,2.0,5.0,2.0,0.7142857142857143,7.714285714285714
2024-06-28,1.0,0.0,3.0,1.7142857142857142,0.5714285714285714,7.714285714285714
2024-06-29,0.0,0.0,0.0,1.7142857142857142,0.5714285714285714,7.714285714285714
2024-06-30,0.0,0.0,0.0,1.7142857142857142,0.5714285714285714,7.714285714285714
2024-07-01,0.0,0.0,6.0,1.5714285714285714,0.5714285714285714,6.0
2024-07-02,1.0,3.0,9.0,1.1428571428571428,0.8571428571428571,5.0
2024-07-03,2.0,1.0,8.0,1.0,0.8571428571428571,4.428571428571429
2024-07-04,0.0,0.0,0.0,0.5714285714285714,0.5714285714285714,3.7142857142857144
2024-07-05,1.0,0.0,2.0,0.5714285714285714,0.5714285714285714,3.5714285714285716
2024-07-06,0.0,0.0,0.0,0.5714285714285714,0.5714285714285714,3.5714285714285716
2024-07-07,0.0,0.0,0.0,0.5714285714285714,0.5714285714285714,3.5714285714285716
2024-07-08,2.0,0.0,6.0,0.8571428571428571,0.5714285714285714,3.5714285714285716
2024-07-09,2.0,2.0,12.0,1.0,0.42857142857142855,4.0
2024-07-10,7.0,1.0,6.0,1.7142857142857142,0.42857142857142855,3.7142857142857144
2024-07-11,3.0,0.0,3.0,2.142857142857143,0.42857142857142855,4.142857142857143
2024-07-12,1.0,0.0,2.0,2.142857142857143,0.42857142857142855,4.142857142857143
2024-07-13,0.0,0.0,0.0,2.142857142857143,0.42857142857142855,4.142857142857143
2024-07-14,0.0,0.0,0.0,2.142857142857143,0.42857142857142855,4.142857142857143
2024-07-15,0.0,2.0,9.0,1.8571428571428572,0.7142857142857143,4.571428571428571
2024-07-16,2.0,2.0,3.0,1.8571428571428572,0.7142857142857143,3.2857142857142856
2024-07-17,3.0,0.0,22.0,1.2857142857142858,0.5714285714285714,5.571428571428571
2024-07-18,3.0,1.0,8.0,1.2857142857142858,0.7142857142857143,6.285714285714286
2024-07-19,6.0,1.0,2.0,2.0,0.8571428571428571,6.285714285714286
2024-07-20,0.0,0.0,0.0,2.0,0.8571428571428571,6.285714285714286
2024-07-21,0.0,0.0,1.0,2.0,0.8571428571428571,6.428571428571429
2024-07-22,1.0,1.0,14.0,2.142857142857143,0.7142857142857143,7.142857142857143
2024-07-23,2.0,1.0,6.0,2.142857142857143,0.5714285714285714,7.571428571428571
2024-07-24,2.0,0.0,5.0,2.0,0.5714285714285714,5.142857142857143
2024-07-25,3.0,1.0,14.0,2.0,0.5714285714285714,6.0
2024-07-26,1.0,0.0,5.0,1.2857142857142858,0.42857142857142855,6.428571428571429
2024-07-27,0.0,0.0,0.0,1.2857142857142858,0.42857142857142855,6.428571428571429
2024-07-28,0.0,0.0,0.0,1.2857142857142858,0.42857142857142855,6.285714285714286
2024-07-29,1.0,1.0,23.0,1.2857142857142858,0.42857142857142855,7.571428571428571
2024-07-30,1.0,0.0,18.0,1.1428571428571428,0.2857142857142857,9.285714285714286
2024-07-31,2.0,2.0,11.0,1.1428571428571428,0.5714285714285714,10.142857142857142
2024-08-01,5.0,1.0,11.0,1.4285714285714286,0.5714285714285714,9.714285714285714
2024-08-02,1.0,0.0,2.0,1.4285714285714286,0.5714285714285714,9.285714285714286
2024-08-03,0.0,0.0,0.0,1.4285714285714286,0.5714285714285714,9.285714285714286
2024-08-04,0.0,0.0,0.0,1.4285714285714286,0.5714285714285714,9.285714285714286
2024-08-05,1.0,0.0,2.0,1.4285714285714286,0.42857142857142855,6.285714285714286
2024-08-06,1.0,0.0,7.0,1.4285714285714286,0.42857142857142855,4.714285714285714
2024-08-07,4.0,1.0,15.0,1.7142857142857142,0.2857142857142857,5.285714285714286
2024-08-08,1.0,2.0,16.0,1.1428571428571428,0.42857142857142855,6.0
2024-08-09,3.0,1.0,0.0,1.4285714285714286,0.5714285714285714,5.714285714285714
2024-08-10,0.0,0.0,0.0,1.4285714285714286,0.5714285714285714,5.714285714285714
2024-08-11,0.0,0.0,0.0,1.4285714285714286,0.5714285714285714,5.714285714285714
2024-08-12,0.0,0.0,25.0,1.2857142857142858,0.5714285714285714,9.0
2024-08-13,6.0,0.0,2.0,2.0,0.5714285714285714,8.285714285714286
2024-08-14,0.0,0.0,6.0,1.4285714285714286,0.42857142857142855,7.0
2024-08-15,2.0,1.0,6.0,1.5714285714285714,0.2857142857142857,5.571428571428571
2024-08-16,5.0,0.0,0.0,1.8571428571428572,0.14285714285714285,5.571428571428571
2024-08-17,0.0,0.0,0.0,1.8571428571428572,0.14285714285714285,5.571428571428571
2024-08-18,0.0,0.0,0.0,1.8571428571428572,0.14285714285714285,5.571428571428571
2024-08-19,1.0,0.0,8.0,2.0,0.14285714285714285,3.142857142857143
2024-08-20,2.0,3.0,8.0,1.4285714285714286,0.5714285714285714,4.0
2024-08-21,0.0,1.0,6.0,1.4285714285714286,0.7142857142857143,4.0
2024-08-22,0.0,1.0,10.0,1.1428571428571428,0.7142857142857143,4.571428571428571
2024-08-23,3.0,0.0,1.0,0.8571428571428571,0.7142857142857143,4.714285714285714
2024-08-24,0.0,0.0,0.0,0.8571428571428571,0.7142857142857143,4.714285714285714
2024-08-25,0.0,0.0,0.0,0.8571428571428571,0.7142857142857143,4.714285714285714
2024-08-26,2.0,0.0,3.0,1.0,0.7142857142857143,4.0
2024-08-27,2.0,3.0,10.0,1.0,0.7142857142857143,4.285714285714286
2024-08-28,1.0,1.0,7.0,1.1428571428571428,0.7142857142857143,4.428571428571429
2024-08-29,0.0,0.0,6.0,1.1428571428571428,0.5714285714285714,3.857142857142857
2024-08-30,3.0,0.0,2.0,1.1428571428571428,0.5714285714285714,4.0
2024-08-31,0.0,0.0,0.0,1.1428571428571428,0.5714285714285714,4.0
2024-09-01,0.0,0.0,0.0,1.1428571428571428,0.5714285714285714,4.0
2024-09-02,0.0,0.0,0.0,0.8571428571428571,0.5714285714285714,3.5714285714285716
2024-09-03,0.0,0.0,5.0,0.5714285714285714,0.14285714285714285,2.857142857142857
2024-09-04,0.0,1.0,6.0,0.42857142857142855,0.14285714285714285,2.7142857142857144
2024-09-05,0.0,0.0,1.0,0.42857142857142855,0.14285714285714285,2.0
2024-09-06,5.0,0.0,2.0,0.7142857142857143,0.14285714285714285,2.0
2024-09-07,0.0,0.0,0.0,0.7142857142857143,0.14285714285714285,2.0
2024-09-08,0.0,0.0,0.0,0.7142857142857143,0.14285714285714285,2.0
2024-09-09,1.0,2.0,8.0,0.8571428571428571,0.42857142857142855,3.142857142857143
