"Column Name","Label"
"B05006_060E","Estimate!!Total:!!Asia:!!South Central Asia:!!India"
"B05006_060M","Margin of Error!!Total:!!Asia:!!South Central Asia:!!India"
"B05006_061E","Estimate!!Total:!!Asia:!!South Central Asia:!!Iran"
"B05006_061M","Margin of Error!!Total:!!Asia:!!South Central Asia:!!Iran"
"B05006_062E","Estimate!!Total:!!Asia:!!South Central Asia:!!Kazakhstan"
"B05006_062M","Margin of Error!!Total:!!Asia:!!South Central Asia:!!Kazakhstan"
"B05006_063E","Estimate!!Total:!!Asia:!!South Central Asia:!!Nepal"
"B05006_063M","Margin of Error!!Total:!!Asia:!!South Central Asia:!!Nepal"
"B05006_064E","Estimate!!Total:!!Asia:!!South Central Asia:!!Pakistan"
"B05006_064M","Margin of Error!!Total:!!Asia:!!South Central Asia:!!Pakistan"
"B05006_065E","Estimate!!Total:!!Asia:!!South Central Asia:!!Sri Lanka"
"B05006_065M","Margin of Error!!Total:!!Asia:!!South Central Asia:!!Sri Lanka"
"B05006_066E","Estimate!!Total:!!Asia:!!South Central Asia:!!Uzbekistan"
"B05006_066M","Margin of Error!!Total:!!Asia:!!South Central Asia:!!Uzbekistan"
"B05006_067E","Estimate!!Total:!!Asia:!!South Central Asia:!!Other South Central Asia"
"B05006_067M","Margin of Error!!Total:!!Asia:!!South Central Asia:!!Other South Central Asia"
"B05006_068E","Estimate!!Total:!!Asia:!!South Eastern Asia:"
"B05006_068M","Margin of Error!!Total:!!Asia:!!South Eastern Asia:"
"B05006_069E","Estimate!!Total:!!Asia:!!South Eastern Asia:!!Burma (Myanmar)"
"B05006_069M","Margin of Error!!Total:!!Asia:!!South Eastern Asia:!!Burma (Myanmar)"
"B05006_070E","Estimate!!Total:!!Asia:!!South Eastern Asia:!!Cambodia"
"B05006_070M","Margin of Error!!Total:!!Asia:!!South Eastern Asia:!!Cambodia"
"B05006_071E","Estimate!!Total:!!Asia:!!South Eastern Asia:!!Indonesia"
"B05006_071M","Margin of Error!!Total:!!Asia:!!South Eastern Asia:!!Indonesia"
"B05006_072E","Estimate!!Total:!!Asia:!!South Eastern Asia:!!Laos"
"B05006_072M","Margin of Error!!Total:!!Asia:!!South Eastern Asia:!!Laos"
"B05006_073E","Estimate!!Total:!!Asia:!!South Eastern Asia:!!Malaysia"
"B05006_073M","Margin of Error!!Total:!!Asia:!!South Eastern Asia:!!Malaysia"
"B05006_074E","Estimate!!Total:!!Asia:!!South Eastern Asia:!!Philippines"
"B05006_074M","Margin of Error!!Total:!!Asia:!!South Eastern Asia:!!Philippines"
"B05006_075E","Estimate!!Total:!!Asia:!!South Eastern Asia:!!Singapore"
"B05006_075M","Margin of Error!!Total:!!Asia:!!South Eastern Asia:!!Singapore"
"B05006_076E","Estimate!!Total:!!Asia:!!South Eastern Asia:!!Thailand"
"B05006_076M","Margin of Error!!Total:!!Asia:!!South Eastern Asia:!!Thailand"
"B05006_077E","Estimate!!Total:!!Asia:!!South Eastern Asia:!!Vietnam"
"B05006_077M","Margin of Error!!Total:!!Asia:!!South Eastern Asia:!!Vietnam"
"B05006_078E","Estimate!!Total:!!Asia:!!South Eastern Asia:!!Other South Eastern Asia"
"B05006_078M","Margin of Error!!Total:!!Asia:!!South Eastern Asia:!!Other South Eastern Asia"
"B05006_079E","Estimate!!Total:!!Asia:!!Western Asia:"
"B05006_079M","Margin of Error!!Total:!!Asia:!!Western Asia:"
"B05006_080E","Estimate!!Total:!!Asia:!!Western Asia:!!Armenia"
"B05006_080M","Margin of Error!!Total:!!Asia:!!Western Asia:!!Armenia"
"B05006_081E","Estimate!!Total:!!Asia:!!Western Asia:!!Azerbaijan"
"B05006_081M","Margin of Error!!Total:!!Asia:!!Western Asia:!!Azerbaijan"
"B05006_082E","Estimate!!Total:!!Asia:!!Western Asia:!!Georgia"
"B05006_082M","Margin of Error!!Total:!!Asia:!!Western Asia:!!Georgia"
"B05006_083E","Estimate!!Total:!!Asia:!!Western Asia:!!Iraq"
"B05006_083M","Margin of Error!!Total:!!Asia:!!Western Asia:!!Iraq"
"B05006_084E","Estimate!!Total:!!Asia:!!Western Asia:!!Israel"
"B05006_084M","Margin of Error!!Total:!!Asia:!!Western Asia:!!Israel"
"B05006_085E","Estimate!!Total:!!Asia:!!Western Asia:!!Jordan"
"B05006_085M","Margin of Error!!Total:!!Asia:!!Western Asia:!!Jordan"
"B05006_086E","Estimate!!Total:!!Asia:!!Western Asia:!!Kuwait"
"B05006_086M","Margin of Error!!Total:!!Asia:!!Western Asia:!!Kuwait"
"B05006_087E","Estimate!!Total:!!Asia:!!Western Asia:!!Lebanon"
"B05006_087M","Margin of Error!!Total:!!Asia:!!Western Asia:!!Lebanon"
"B05006_088E","Estimate!!Total:!!Asia:!!Western Asia:!!Saudi Arabia"
"B05006_088M","Margin of Error!!Total:!!Asia:!!Western Asia:!!Saudi Arabia"
"B05006_089E","Estimate!!Total:!!Asia:!!Western Asia:!!Syria"
"B05006_089M","Margin of Error!!Total:!!Asia:!!Western Asia:!!Syria"
"B05006_090E","Estimate!!Total:!!Asia:!!Western Asia:!!Turkey"
"B05006_090M","Margin of Error!!Total:!!Asia:!!Western Asia:!!Turkey"
"B05006_091E","Estimate!!Total:!!Asia:!!Western Asia:!!United Arab Emirates"
"B05006_091M","Margin of Error!!Total:!!Asia:!!Western Asia:!!United Arab Emirates"
"B05006_092E","Estimate!!Total:!!Asia:!!Western Asia:!!Yemen"
"B05006_092M","Margin of Error!!Total:!!Asia:!!Western Asia:!!Yemen"
"B05006_093E","Estimate!!Total:!!Asia:!!Western Asia:!!Other Western Asia"
"B05006_093M","Margin of Error!!Total:!!Asia:!!Western Asia:!!Other Western Asia"
"B05006_094E","Estimate!!Total:!!Asia:!!Asia, n.e.c."
"B05006_094M","Margin of Error!!Total:!!Asia:!!Asia, n.e.c."
"B05006_095E","Estimate!!Total:!!Africa:"
"B05006_095M","Margin of Error!!Total:!!Africa:"
"B05006_096E","Estimate!!Total:!!Africa:!!Eastern Africa:"
"B05006_096M","Margin of Error!!Total:!!Africa:!!Eastern Africa:"
"B05006_097E","Estimate!!Total:!!Africa:!!Eastern Africa:!!Eritrea"
"B05006_097M","Margin of Error!!Total:!!Africa:!!Eastern Africa:!!Eritrea"
"B05006_098E","Estimate!!Total:!!Africa:!!Eastern Africa:!!Ethiopia"
"B05006_098M","Margin of Error!!Total:!!Africa:!!Eastern Africa:!!Ethiopia"
"B05006_099E","Estimate!!Total:!!Africa:!!Eastern Africa:!!Kenya"
"B05006_099M","Margin of Error!!Total:!!Africa:!!Eastern Africa:!!Kenya"
