"GEO_ID","NAME","B01003_001E","B01003_001M",
"Geography","Geographic Area Name","Estimate!!Total","Margin of Error!!Total",
"1400000US36005039600","Census Tract 396; Bronx County; New York","3837","654",
"1400000US36005039700","Census Tract 397; Bronx County; New York","3868","151",
"1400000US36005039800","Census Tract 398; Bronx County; New York","3528","759",
"1400000US36005039901","Census Tract 399.01; Bronx County; New York","5032","635",
"1400000US36005039902","Census Tract 399.02; Bronx County; New York","5116","785",
"1400000US36005040100","Census Tract 401; Bronx County; New York","4630","738",
"1400000US36005040302","Census Tract 403.02; Bronx County; New York","4389","1421",
"1400000US36005040303","Census Tract 403.03; Bronx County; New York","4076","394",
"1400000US36005040304","Census Tract 403.04; Bronx County; New York","3586","618",
"1400000US36005040400","Census Tract 404; Bronx County; New York","3499","805",
"1400000US36005040501","Census Tract 405.01; Bronx County; New York","3560","525",
"1400000US36005040502","Census Tract 405.02; Bronx County; New York","6100","1152",
"1400000US36005040600","Census Tract 406; Bronx County; New York","3802","715",
"1400000US36005040701","Census Tract 407.01; Bronx County; New York","2779","639",
"1400000US36005040702","Census Tract 407.02; Bronx County; New York","6840","741",
"1400000US36005040800","Census Tract 408; Bronx County; New York","4438","821",
"1400000US36005040900","Census Tract 409; Bronx County; New York","3392","579",
"1400000US36005041100","Census Tract 411; Bronx County; New York","3793","608",
"1400000US36005041300","Census Tract 413; Bronx County; New York","8001","983",
"1400000US36005041400","Census Tract 414; Bronx County; New York","5318","862",
"1400000US36005041500","Census Tract 415; Bronx County; New York","5706","768",
"1400000US36005041800","Census Tract 418; Bronx County; New York","3713","727",
"1400000US36005041900","Census Tract 419; Bronx County; New York","6219","681",
"1400000US36005042000","Census Tract 420; Bronx County; New York","4665","841",
"1400000US36005042100","Census Tract 421; Bronx County; New York","5954","912",
"1400000US36005042200","Census Tract 422; Bronx County; New York","2836","667",
"1400000US36005042300","Census Tract 423; Bronx County; New York","4378","578",
"1400000US36005042400","Census Tract 424; Bronx County; New York","2626","555",
"1400000US36005042500","Census Tract 425; Bronx County; New York","6749","1137",
"1400000US36005042600","Census Tract 426; Bronx County; New York","7627","1477",
"1400000US36005042800","Census Tract 428; Bronx County; New York","2249","474",
"1400000US36005042901","Census Tract 429.01; Bronx County; New York","3128","521",
"1400000US36005042902","Census Tract 429.02; Bronx County; New York","3898","414",
